chunk	start_pos	end_pos	total_variation_ct	SNP_ct	neanderthal_indel_ct	human_indel_ct	variation_ct
72	23150037	23250036	0	272	20	15	292.0
73	23250037	23350036	0	174	12	12	186.0
74	23350037	23450036	0	167	5	8	172.0
75	23450037	23550036	0	220	17	18	237.0
76	23550037	23650036	0	206	14	8	220.0
77	23650037	23750036	0	351	10	22	361.0
78	23750037	23850036	0	469	18	19	487.0
79	23850037	23950036	0	242	10	14	252.0
80	23950037	24050036	0	303	18	24	321.0
81	24050037	24150036	0	221	13	27	234.0
82	24150037	24250036	0	531	28	31	559.0
83	24250037	24350036	0	266	15	11	281.0
84	24350037	24450036	0	120	1	8	121.0
85	24450037	24550036	0	92	4	15	96.0
86	24550037	24650036	0	220	8	19	228.0
87	24650037	24750036	0	218	18	18	236.0
88	24750037	24850036	0	155	14	18	169.0
89	24850037	24950036	0	157	15	17	172.0
90	24950037	25050036	0	325	8	28	333.0
91	25050037	25150036	0	354	20	18	374.0
92	25150037	25250036	0	295	12	32	307.0
93	25250037	25350036	0	251	16	28	267.0
94	25350037	25450036	0	153	11	22	164.0
95	25450037	25550036	0	161	6	16	167.0
96	25550037	25650036	0	320	15	17	335.0
97	25650037	25750036	0	419	24	27	443.0
98	25750037	25850036	0	253	17	20	270.0
99	25850037	25950036	0	301	18	27	319.0
100	25950037	26050036	0	146	7	16	153.0
101	26050037	26150036	0	145	11	17	156.0
102	26150037	26250036	0	307	14	23	321.0
103	26250037	26350036	0	201	11	12	212.0
104	26350037	26450036	0	208	15	11	223.0
105	26450037	26550036	0	182	11	13	193.0
106	26550037	26650036	0	184	7	15	191.0
107	26650037	26750036	0	316	16	17	332.0
108	26750037	26850036	0	305	17	22	322.0
109	26850037	26950036	0	148	7	22	155.0
110	26950037	27050036	0	217	17	26	234.0
111	27050037	27150036	0	202	19	22	221.0
112	27150037	27250036	0	182	8	10	190.0
113	27250037	27350036	0	290	16	17	306.0
114	27350037	27450036	0	233	15	9	248.0
115	27450037	27550036	0	251	28	12	279.0
116	27550037	27650036	0	215	8	13	223.0
117	27650037	27750036	0	200	12	12	212.0
118	27750037	27850036	0	186	11	10	197.0
119	27850037	27950036	0	205	8	13	213.0
120	27950037	28050036	0	200	12	12	212.0
121	28050037	28150036	0	228	11	11	239.0
122	28150037	28250036	0	157	12	16	169.0
123	28250037	28350036	0	112	7	17	119.0
124	28350037	28450036	0	140	5	12	145.0
125	28450037	28550036	0	189	8	17	197.0
126	28550037	28650036	0	147	8	12	155.0
127	28650037	28750036	0	124	15	15	139.0
128	28750037	28850036	0	146	11	17	157.0
129	28850037	28950036	0	148	8	15	156.0
130	28950037	29050036	0	151	16	18	167.0
131	29050037	29150036	0	289	31	17	320.0
132	29150037	29250036	0	314	29	37	343.0
133	29250037	29350036	0	230	12	33	242.0
134	29350037	29450036	0	118	8	17	126.0
135	29450037	29550036	0	334	23	23	357.0
136	29550037	29650036	0	319	21	28	340.0
137	29650037	29750036	0	99	8	14	107.0
138	29750037	29850036	0	174	16	24	190.0
139	29850037	29950036	0	213	16	28	229.0
140	29950037	30050036	0	155	10	27	165.0
141	30050037	30150036	0	116	9	12	125.0
142	30150037	30250036	0	189	13	28	202.0
143	30250037	30350036	0	170	17	18	187.0
144	30350037	30450036	0	102	9	16	111.0
145	30450037	30550036	0	127	11	17	138.0
146	30550037	30650036	0	136	9	15	145.0
147	30650037	30750036	0	128	4	16	132.0
148	30750037	30850036	0	137	12	17	149.0
149	30850037	30950036	0	263	20	25	283.0
150	30950037	31050036	0	220	9	28	229.0
151	31050037	31150036	0	179	17	16	196.0
152	31150037	31250036	0	139	13	21	152.0
153	31250037	31350036	0	136	8	15	144.0
154	31350037	31450036	0	151	14	28	165.0
155	31450037	31550036	0	193	10	21	203.0
156	31550037	31650036	0	157	20	30	177.0
157	31650037	31750036	0	120	11	19	131.0
158	31750037	31850036	0	165	15	36	180.0
159	31850037	31950036	0	205	24	41	229.0
160	31950037	32050036	0	296	30	22	326.0
161	32050037	32150036	0	152	13	31	165.0
162	32150037	32250036	0	222	17	31	239.0
163	32250037	32350036	0	247	16	35	263.0
164	32350037	32450036	0	357	26	42	383.0
165	32450037	32550036	0	283	16	19	299.0
166	32550037	32650036	0	269	19	13	288.0
167	32650037	32750036	0	429	21	26	450.0
168	32750037	32850036	0	202	17	22	219.0
169	32850037	32950036	0	237	19	25	256.0
170	32950037	33050036	0	264	15	33	279.0
171	33050037	33150036	0	113	7	8	120.0
172	33150037	33250036	0	232	13	21	245.0
173	33250037	33350036	0	69	9	12	78.0
174	33350037	33450036	0	208	16	23	224.0
175	33450037	33550036	0	155	6	18	161.0
176	33550037	33650036	0	294	23	23	317.0
177	33650037	33750036	0	272	17	28	289.0
178	33750037	33850036	0	231	14	16	245.0
179	33850037	33950036	0	283	20	23	303.0
180	33950037	34050036	0	211	18	20	229.0
181	34050037	34150036	0	175	13	19	188.0
182	34150037	34250036	0	220	8	16	228.0
183	34250037	34350036	0	206	13	22	219.0
184	34350037	34450036	0	131	12	16	143.0
185	34450037	34550036	0	182	14	23	196.0
186	34550037	34650036	0	140	14	16	154.0
187	34650037	34750036	0	235	19	23	254.0
188	34750037	34850036	0	334	27	16	361.0
189	34850037	34950036	0	357	21	14	378.0
190	34950037	35050036	0	270	18	18	288.0
191	35050037	35150036	0	245	14	12	259.0
192	35150037	35250036	0	320	15	8	335.0
193	35250037	35350036	0	178	15	8	193.0
194	35350037	35450036	0	192	11	26	203.0
195	35450037	35550036	0	274	9	13	283.0
196	35550037	35650036	0	150	11	14	161.0
197	35650037	35750036	0	235	16	18	251.0
198	35750037	35850036	0	289	15	41	304.0
199	35850037	35950036	0	289	21	17	310.0
200	35950037	36050036	0	340	18	25	358.0
201	36050037	36150036	0	346	29	28	375.0
202	36150037	36250036	0	192	17	19	209.0
203	36250037	36350036	0	194	16	21	210.0
204	36350037	36450036	0	197	22	24	219.0
205	36450037	36550036	0	234	17	27	251.0
206	36550037	36650036	0	306	11	11	317.0
207	36650037	36750036	0	181	9	16	190.0
208	36750037	36850036	0	189	20	17	209.0
209	36850037	36950036	0	318	19	27	337.0
210	36950037	37050036	0	161	14	25	175.0
211	37050037	37150036	0	246	24	14	270.0
212	37150037	37250036	0	165	18	12	183.0
213	37250037	37350036	0	210	12	12	222.0
214	37350037	37450036	0	236	16	24	252.0
215	37450037	37550036	0	253	8	14	261.0
216	37550037	37650036	0	312	16	15	328.0
217	37650037	37750036	0	251	12	16	263.0
218	37750037	37850036	0	296	20	19	316.0
219	37850037	37950036	0	211	11	22	222.0
220	37950037	38050036	0	208	19	21	227.0
221	38050037	38150036	0	131	11	14	142.0
222	38150037	38250036	0	118	14	26	132.0
223	38250037	38350036	0	89	5	23	94.0
224	38350037	38450036	0	94	9	17	103.0
225	38450037	38550036	0	239	7	14	246.0
226	38550037	38650036	0	239	23	22	262.0
227	38650037	38750036	0	182	16	22	198.0
228	38750037	38850036	0	222	18	22	240.0
229	38850037	38950036	0	124	14	21	138.0
230	38950037	39050036	0	139	18	25	157.0
231	39050037	39150036	0	121	15	15	136.0
232	39150037	39250036	0	196	10	20	206.0
233	39250037	39350036	0	319	18	14	337.0
234	39350037	39450036	0	218	12	30	230.0
235	39450037	39550036	0	286	18	20	304.0
236	39550037	39650036	0	252	23	15	275.0
237	39650037	39750036	0	223	17	24	240.0
238	39750037	39850036	0	217	18	19	235.0
239	39850037	39950036	0	165	13	16	178.0
240	39950037	40050036	0	202	11	16	213.0
241	40050037	40150036	0	167	11	7	178.0
242	40150037	40250036	0	200	20	14	220.0
243	40250037	40350036	0	108	10	10	118.0
244	40350037	40450036	0	153	13	17	166.0
245	40450037	40550036	0	189	28	15	217.0
246	40550037	40650036	0	234	14	22	248.0
247	40650037	40750036	0	218	15	27	233.0
248	40750037	40850036	0	191	17	13	208.0
249	40850037	40950036	0	163	15	23	178.0
250	40950037	41050036	0	166	20	35	186.0
251	41050037	41150036	0	164	9	33	173.0
252	41150037	41250036	0	130	20	30	150.0
253	41250037	41350036	0	130	12	33	142.0
254	41350037	41450036	0	248	25	41	273.0
255	41450037	41550036	0	173	21	23	194.0
256	41550037	41650036	0	200	19	17	219.0
257	41650037	41750036	0	164	17	24	181.0
258	41750037	41850036	0	205	16	23	221.0
259	41850037	41950036	0	173	14	16	187.0
260	41950037	42050036	0	227	12	23	239.0
261	42050037	42150036	0	216	16	41	232.0
262	42150037	42250036	0	177	8	20	185.0
263	42250037	42350036	0	210	18	24	228.0
264	42350037	42450036	0	204	15	20	219.0
265	42450037	42550036	0	204	15	13	219.0
266	42550037	42650036	0	240	20	21	260.0
267	42650037	42750036	0	221	15	9	236.0
268	42750037	42850036	0	197	14	21	211.0
269	42850037	42950036	0	237	16	30	253.0
270	42950037	43050036	0	224	17	22	241.0
271	43050037	43150036	0	281	20	33	301.0
272	43150037	43250036	0	224	23	27	247.0
273	43250037	43350036	0	142	9	20	151.0
274	43350037	43450036	0	219	15	28	234.0
275	43450037	43550036	0	248	16	24	264.0
276	43550037	43650036	0	202	9	11	211.0
277	43650037	43750036	0	249	12	16	261.0
278	43750037	43850036	0	236	17	18	253.0
279	43850037	43950036	0	238	6	14	244.0
280	43950037	44050036	0	164	9	21	173.0
281	44050037	44150036	0	158	11	15	169.0
282	44150037	44250036	0	141	10	10	151.0
283	44250037	44350036	0	174	7	16	181.0
284	44350037	44450036	0	237	13	19	250.0
285	44450037	44550036	0	284	8	14	292.0
286	44550037	44650036	0	243	15	19	258.0
287	44650037	44750036	0	218	5	12	223.0
288	44750037	44850036	0	322	14	11	336.0
289	44850037	44950036	0	294	20	25	314.0
290	44950037	45050036	0	250	24	17	274.0
291	45050037	45150036	0	271	13	19	284.0
292	45150037	45250036	0	263	21	29	284.0
293	45250037	45350036	0	294	23	18	317.0
294	45350037	45450036	0	276	17	21	293.0
295	45450037	45550036	0	226	21	26	247.0
296	45550037	45650036	0	336	17	27	353.0
297	45650037	45750036	0	339	19	20	358.0
298	45750037	45850036	0	173	11	24	184.0
299	45850037	45950036	0	150	14	20	164.0
300	45950037	46050036	0	260	19	14	279.0
301	46050037	46150036	0	215	9	28	224.0
302	46150037	46250036	0	165	9	15	174.0
303	46250037	46350036	0	324	18	16	342.0
304	46350037	46450036	0	229	17	18	246.0
305	46450037	46550036	0	175	13	6	188.0
306	46550037	46650036	0	201	13	26	214.0
307	46650037	46750036	0	183	9	16	192.0
308	46750037	46850036	0	275	8	18	283.0
309	46850037	46950036	0	390	19	28	409.0
310	46950037	47050036	0	384	14	18	398.0
311	47050037	47150036	0	417	14	30	431.0
312	47150037	47250036	0	291	10	14	301.0
313	47250037	47350036	0	448	24	27	472.0
314	47350037	47450036	0	294	9	20	303.0
315	47450037	47550036	0	294	12	11	306.0
316	47550037	47650036	0	326	12	15	338.0
317	47650037	47750036	0	245	10	11	255.0
318	47750037	47850036	0	266	25	16	291.0
319	47850037	47950036	0	203	11	19	214.0
320	47950037	48050036	0	278	9	18	287.0
321	48050037	48150036	0	238	18	22	256.0
322	48150037	48250036	0	204	11	7	215.0
323	48250037	48350036	0	302	21	20	323.0
324	48350037	48450036	0	236	16	19	252.0
325	48450037	48550036	0	302	18	27	320.0
326	48550037	48650036	0	359	12	16	371.0
327	48650037	48750036	0	258	15	17	273.0
328	48750037	48850036	0	359	16	22	375.0
329	48850037	48950036	0	254	5	13	259.0
330	48950037	49050036	0	294	6	14	300.0
331	49050037	49150036	0	425	8	19	433.0
332	49150037	49250036	0	395	28	24	423.0
333	49250037	49350036	0	265	18	16	283.0
334	49350037	49450036	0	325	11	13	336.0
335	49450037	49550036	0	409	12	15	421.0
336	49550037	49650036	0	241	5	6	246.0
337	49650037	49750036	0	136	12	8	148.0
338	49750037	49850036	0	422	33	12	455.0
339	49850037	49950036	0	276	14	17	290.0
340	49950037	50050036	0	211	11	10	222.0
341	50050037	50150036	0	273	14	16	287.0
342	50150037	50250036	0	200	12	22	212.0
343	50250037	50350036	0	399	19	31	418.0
344	50350037	50450036	0	151	9	10	160.0
345	50450037	50550036	0	292	21	15	313.0
346	50550037	50650036	0	194	6	19	200.0
347	50650037	50750036	0	265	13	13	278.0
348	50750037	50850036	0	297	24	41	321.0
349	50850037	50950036	0	279	7	27	286.0
350	50950037	51050036	0	281	12	15	293.0
351	51050037	51150036	0	294	15	23	309.0
352	51150037	51244566	0	136	7	4	143.0
